Date,Open,High,Low,Close,Volume
1977/3/15,6.7236,6.7872,6.7236,6.7448,17581
1977/3/16,6.7448,6.8296,6.7448,6.7872,14597
1977/3/17,6.7871,6.8084,6.7235,6.7659,6951
1977/3/18,6.766,6.7872,6.7448,6.7448,3843
1977/3/21,6.7447,6.8084,6.7447,6.7659,5397
1977/3/22,6.7659,6.7659,6.7023,6.7235,5642
1977/3/23,6.7236,6.766,6.7236,6.7448,4988
1977/3/24,6.7448,6.7448,6.7236,6.7448,5274
1977/3/25,6.7447,6.7447,6.6387,6.6811,3475
1977/3/28,6.6599,6.6599,6.5963,6.6599,5724
1977/3/29,6.6599,6.6811,6.6387,6.6811,2331
1977/3/30,6.6811,6.6811,6.6599,6.6599,2699
1977/3/31,6.6599,6.7023,6.6599,6.6599,7482
1977/4/1,6.6599,6.7235,6.6599,6.7023,5356
1977/4/4,6.7023,6.7235,6.6599,6.6811,3026
1977/4/5,6.6811,6.7023,6.5963,6.6811,6378
1977/4/6,6.6811,6.7447,6.6811,6.7023,3639
1977/4/7,6.7235,6.7659,6.7235,6.7659,4129
1977/4/11,6.766,6.8084,6.7236,6.7448,7196
1977/4/12,6.7448,6.872,6.7448,6.872,4170
1977/4/13,6.872,6.9144,6.7872,6.9144,24491
1977/4/14,6.9144,7.0204,6.9144,6.9568,8382
1977/4/15,6.9568,7.0204,6.9144,6.9144,5601
1977/4/18,6.8296,6.8296,6.7447,6.7659,6296
1977/4/19,6.7447,6.7447,6.7023,6.7023,9690
1977/4/20,6.7448,6.7872,6.7448,6.7872,4866
1977/4/21,6.7871,6.7871,6.7447,6.7659,2821
1977/4/22,6.7659,6.7871,6.7235,6.7235,4252
1977/4/25,6.7236,6.7448,6.6387,6.6387,3843
1977/4/26,6.6387,6.7023,6.6175,6.7023,4048
1977/4/27,6.7023,6.7871,6.6811,6.7235,4702
1977/4/28,6.7235,6.7659,6.7023,6.7235,3394
1977/4/29,6.7236,6.766,6.7024,6.7448,5806
1977/5/2,6.7448,6.8296,6.7236,6.7872,5806
1977/5/3,6.7872,6.8296,6.766,6.7872,3639
1977/5/4,6.7872,6.8296,6.7659,6.8084,3598
1977/5/5,6.8084,6.8084,6.766,6.7872,3516
1977/5/6,6.7872,6.7872,6.7236,6.7872,2453
1977/5/9,6.7872,6.8508,6.7448,6.8084,8341
1977/5/10,6.8084,6.8508,6.8084,6.8084,2780
1977/5/11,6.8084,6.8508,6.7872,6.8296,2903
1977/5/12,6.8296,6.8508,6.7659,6.8084,6705
1977/5/13,6.8084,6.8296,6.7872,6.7872,1963
1977/5/16,6.7872,6.8084,6.7872,6.7872,4129
1977/5/17,6.7872,6.8508,6.7872,6.8296,5070
1977/5/18,6.8296,6.8508,6.8084,6.8296,6010
1977/5/19,6.8296,6.8932,6.8084,6.8296,9077
1977/5/20,6.872,6.9144,6.872,6.9144,3353
1977/5/23,6.8932,6.8932,6.8296,6.8508,3925
1977/5/24,6.8508,6.872,6.7872,6.8296,4048
1977/5/25,6.8296,6.872,6.8084,6.8508,4416
1977/5/26,6.8508,6.8508,6.7872,6.8296,2412
1977/5/27,6.8296,6.8296,6.7872,6.7872,2699
1977/5/31,6.7872,6.7872,6.6812,6.7448,4906
1977/6/1,6.7447,6.7871,6.7235,6.7659,2494
1977/6/2,6.7659,6.8084,6.7448,6.8084,5111
1977/6/3,6.8084,6.8296,6.7872,6.8296,4498
1977/6/6,6.8296,6.8296,6.7023,6.7235,6051
1977/6/7,6.7236,6.8084,6.7023,6.7872,7360
1977/6/8,6.7871,6.8084,6.7447,6.7659,4334
1977/6/9,6.766,6.7872,6.7448,6.7872,2453
1977/6/10,6.7872,6.7872,6.7448,6.7872,1963
1977/6/13,6.7872,6.7872,6.7448,6.7872,2371
