Date,Open,High,Low,Close,Volume
1999/5/4,52.8487,53.7179,48.6764,48.9372,15521454
1999/5/5,48.5895,48.5895,46.0688,48.068,5261021
1999/5/6,47.2857,48.2418,46.6337,47.2422,2020558
1999/5/7,47.2422,52.0664,46.4165,51.5449,3381137
1999/5/10,51.0233,51.1102,48.8503,49.1545,1800611
1999/5/11,48.6764,49.5021,48.3287,49.111,1279355
1999/5/12,49.3718,52.0663,48.0679,51.1102,1849216
1999/5/13,50.9364,52.3271,50.4148,50.8929,794746
1999/5/14,49.5456,50.241,48.0245,48.8068,1431365
1999/5/17,48.068,48.8503,47.2857,47.7203,1442909
1999/5/18,47.4595,48.9807,47.3726,47.7203,978466
1999/5/19,48.2419,48.5461,47.8072,48.1984,505818
1999/5/20,48.3722,48.7633,47.5464,47.5464,362152
1999/5/21,47.3726,47.8507,46.938,46.938,651013
1999/5/24,46.5902,46.7641,45.1995,45.4168,1038198
1999/5/25,44.591,45.8514,44.5041,44.8518,1155994
1999/5/26,45.6342,46.3296,43.8523,45.9384,1114621
1999/5/27,45.1995,47.1118,44.9822,47.1118,848708
1999/5/28,47.1118,47.8507,46.5903,47.2422,627161
1999/6/1,46.3295,46.3295,44.1999,44.6345,663320
1999/6/2,44.3303,44.5476,43.1134,43.9826,1532820
1999/6/3,44.5042,44.6345,43.8957,44.2434,592879
1999/6/4,44.7215,46.5903,44.7215,45.4603,943905
1999/6/7,45.33,47.1119,45.33,45.8515,620208
1999/6/8,45.4603,45.6776,44.3303,44.3303,397547
1999/6/9,44.678,45.5472,44.2434,45.5472,425154
1999/6/10,45.1126,45.156,44.026,44.0695,461869
1999/6/11,44.4607,44.7214,43.3307,43.9826,674029
1999/6/14,44.1565,44.5042,42.0704,42.5919,570975
1999/6/15,43.7218,44.0695,43.2872,43.6349,578345
1999/6/16,44.4607,45.5038,44.4607,45.3734,480019
1999/6/17,44.8518,46.5033,44.8518,45.1995,664572
1999/6/18,44.678,45.1127,44.1565,45.0692,426893
1999/6/21,46.373,48.6329,46.286,48.3287,1259328
1999/6/22,48.7634,48.7634,47.1119,47.2857,810741
1999/6/23,46.6337,46.8945,45.1126,45.1995,939941
1999/6/24,45.9384,46.2426,44.8519,45.243,979717
1999/6/25,45.5473,46.46,45.4603,46.0688,772913
1999/6/28,46.1992,46.938,45.7211,46.2861,545594
1999/6/29,45.8949,47.6333,45.8949,47.1118,437949
1999/6/30,47.6333,50.241,45.9818,50.241,1479484
1999/7/1,49.6325,49.676,48.5026,49.2414,565759
1999/7/2,49.0675,49.5021,48.4591,49.3283,373348
1999/7/6,48.6764,49.5022,48.1549,49.0241,519864
1999/7/7,48.3722,48.6765,47.2857,47.2857,451161
1999/7/8,47.2856,47.8941,46.7206,46.7641,295118
1999/7/9,46.8945,47.416,46.7641,46.7641,217444
1999/7/12,47.2856,47.9375,47.1987,47.5464,380858
1999/7/13,47.4595,47.7637,47.0249,47.1987,674237
1999/7/14,46.8511,47.1118,46.8076,47.0249,617634
1999/7/15,47.2857,47.2857,46.938,47.2422,601293
1999/7/16,47.1118,47.8072,47.1118,47.3291,331486
1999/7/19,47.4595,49.198,47.4595,48.2853,449284
1999/7/20,48.068,48.9807,47.1988,47.3726,616174
1999/7/21,47.2856,47.3291,46.6772,47.1987,435375
1999/7/22,47.3726,47.4595,46.2426,46.2426,402971
1999/7/23,46.1557,46.1557,44.5041,44.5476,533493
1999/7/26,44.678,45.0257,43.9391,43.9826,521185
1999/7/27,44.678,45.721,44.0261,45.5472,411802
1999/7/28,45.3734,46.1557,44.5042,45.9384,406657
1999/7/29,45.5472,45.5472,44.8518,45.1995,449213
1999/7/30,45.1996,45.1996,44.2434,44.7215,437810
1999/8/2,44.678,44.8953,43.3742,43.6784,393862
1999/8/3,43.6784,43.6784,42.2441,42.2876,582517
1999/8/4,42.1139,42.7658,41.7227,41.7227,891197
1999/8/5,41.5922,41.7226,40.2015,41.2011,1070811
1999/8/6,40.9838,40.9838,38.9412,39.115,909902
1999/8/9,39.2889,39.9843,38.8108,38.8108,937022
1999/8/10,39.1992,39.8526,38.4588,39.7219,1266501
1999/8/11,40.3317,42.9015,40.0268,42.8579,954163
1999/8/12,42.8144,43.337,42.2046,42.2917,580359
1999/8/13,43.5112,44.0774,43.2499,43.9903,388439
1999/8/16,43.9032,43.9032,42.4223,43.8161,531438
1999/8/17,44.0774,44.9485,43.6419,43.9032,652903
1999/8/18,43.9032,43.9032,42.553,43.4241,570951
1999/8/19,42.945,43.5547,42.3787,42.9014,435268
1999/8/20,43.0757,43.8596,42.945,43.4241,306347
1999/8/23,43.7725,44.4694,43.6418,44.3387,583424
1999/8/24,44.2952,45.297,43.7726,44.2081,623147
1999/8/25,43.9903,44.8179,43.4241,44.6001,313525
