Date,Open,High,Low,Close,Volume
1993/5/21,3.6575,3.6575,3.5655,3.5786,87781
1993/5/24,3.5655,3.6444,3.5523,3.6444,27618
1993/5/25,3.655,3.6682,3.6154,3.6418,69923
1993/5/26,3.6418,3.8793,3.6418,3.8661,69584
1993/5/27,3.8529,3.8925,3.6946,3.7078,106784
1993/5/28,3.6946,3.6946,3.6022,3.6286,141322
1993/6/1,3.6286,3.6682,3.6286,3.655,34877
1993/6/2,3.655,3.6946,3.655,3.6814,31203
1993/6/3,3.6946,3.6946,3.6154,3.6154,18874
1993/6/4,3.589,3.6418,3.5758,3.5758,22294
1993/6/7,3.5758,3.589,3.5494,3.5758,33187
1993/6/8,3.5758,3.589,3.5626,3.5758,31161
1993/6/9,3.5758,3.6286,3.5758,3.6286,36017
1993/6/10,3.6286,3.6286,3.5758,3.589,17523
1993/6/11,3.6022,3.6286,3.589,3.6154,15623
1993/6/14,3.6154,3.6682,3.6154,3.6286,47417
1993/6/15,3.6286,3.6286,3.5626,3.589,22041
1993/6/16,3.589,3.721,3.589,3.6946,138452
1993/6/17,3.6814,3.7342,3.6814,3.7078,32217
1993/6/18,3.7078,3.7078,3.6022,3.6022,110161
1993/6/21,3.5758,3.589,3.457,3.5758,220870
1993/6/22,3.5758,3.5758,3.4702,3.5758,195874
1993/6/23,3.5758,3.589,3.5494,3.5758,204825
1993/6/24,3.6814,3.7342,3.6418,3.7078,304814
1993/6/25,3.7078,3.8397,3.7078,3.8265,197437
1993/6/28,3.8265,4.1168,3.8265,4.0904,328034
1993/6/29,4.0113,4.0245,3.9057,3.9321,230838
1993/6/30,3.9189,3.9585,3.8925,3.9585,504323
1993/7/1,3.9585,3.9585,3.8925,3.9057,221379
1993/7/2,3.9057,3.9453,3.8925,3.9321,98466
1993/7/6,3.9057,3.9189,3.8793,3.8925,201364
1993/7/7,3.8793,3.8925,3.8397,3.8925,194439
1993/7/8,3.8925,3.9321,3.8661,3.8793,311104
1993/7/9,3.8661,3.8793,3.8133,3.8793,294088
1993/7/12,3.8793,4.0904,3.8661,4.0904,752380
1993/7/13,4.0376,4.0376,3.8925,3.8925,1107480
1993/7/14,3.8926,3.8926,3.7342,3.7606,1022624
1993/7/15,3.6681,3.8001,3.655,3.7869,1035436
1993/7/16,3.7869,3.8133,3.7209,3.7737,623932
1993/7/19,3.7737,3.8529,3.7737,3.8397,387441
1993/7/20,3.932,4.064,3.8661,4.0112,1106753
1993/7/21,4.0244,4.0772,3.9716,4.0772,467538
1993/7/22,4.0508,4.0508,3.9716,3.9848,470660
1993/7/23,3.9585,3.9717,3.9189,3.9453,263349
1993/7/26,3.9321,4.1432,3.9321,4.064,534083
1993/7/27,4.0509,4.0509,3.9717,3.9981,283069
1993/7/28,3.9848,4.0376,3.9848,3.9848,226147
1993/7/29,3.9849,4.0377,3.8529,3.9321,706870
1993/7/30,3.8925,3.9321,3.8793,3.9321,297130
1993/8/2,3.9189,3.9321,3.8661,3.9057,401379
1993/8/3,3.9057,3.9189,3.8661,3.8661,231764
1993/8/4,3.8661,3.9321,3.8529,3.8925,197817
1993/8/5,3.9057,3.9321,3.8529,3.8661,333523
1993/8/6,3.8793,3.9981,3.8662,3.9981,153611
1993/8/9,4.0112,4.0772,3.998,4.064,327485
1993/8/10,4.064,4.0772,3.998,4.0376,201574
1993/8/11,4.0113,4.0509,3.9321,3.9321,152935
1993/8/12,3.9321,3.9849,3.9057,3.9321,147826
1993/8/13,3.9321,3.9585,3.8529,3.8925,289400
1993/8/16,3.9057,3.9189,3.8661,3.8793,515720
1993/8/17,3.8925,3.9189,3.8529,3.8529,246163
1993/8/18,3.8793,3.9585,3.8793,3.8925,327654
1993/8/19,3.9057,3.9189,3.8661,3.8661,204403
1993/8/20,3.8661,3.9453,3.8661,3.9057,328754
1993/8/23,3.9057,3.9717,3.8925,3.9585,395470
1993/8/24,3.9585,4.1828,3.9585,4.1564,719700
1993/8/25,4.1432,4.2487,4.064,4.13,678235
1993/8/26,4.1008,4.1802,4.0479,4.1273,254453
1993/8/27,4.0877,4.0877,4.0083,4.048,220338
1993/8/30,4.0216,4.2465,4.0216,4.1803,372227
1993/8/31,4.1802,4.2199,4.1009,4.1141,291113
1993/9/1,4.0745,4.1936,4.0348,4.1671,483349
1993/9/2,4.1803,4.2332,4.1671,4.22,412230
1993/9/3,4.2068,4.2068,4.1671,4.1671,178896
1993/9/7,4.1802,4.2464,4.1273,4.1273,394528
1993/9/8,4.1274,4.1406,3.9686,4.048,193076
1993/9/9,4.0215,4.1009,4.0083,4.0744,219827
1993/9/10,4.0876,4.1538,4.0744,4.1273,187443
1993/9/13,4.1538,4.1935,4.1538,4.1803,215725
1993/9/14,4.1274,4.1406,4.0877,4.1009,212506
1993/9/15,4.0744,4.1405,4.0083,4.1273,232991
1993/9/16,4.1406,4.3258,4.1009,4.2861,347968
1993/9/17,4.2861,4.392,4.2861,4.3655,453462
1993/9/20,4.4713,4.5639,4.4052,4.5242,541253
1993/9/21,4.5374,4.6697,4.5242,4.5242,898575
1993/9/22,4.5772,4.8682,4.5772,4.7227,1079469
1993/9/23,4.7227,4.7756,4.6565,4.7359,436147
1993/9/24,4.7094,4.7226,4.6168,4.6697,284170
1993/9/27,4.6697,4.6962,4.5771,4.6168,337975
1993/9/28,4.6036,4.7623,4.6036,4.6433,349407
1993/9/29,4.6433,4.6962,4.5771,4.6168,163908
1993/9/30,4.6433,4.6962,4.5639,4.6565,295264
1993/10/1,4.6301,4.7491,4.6169,4.7359,222370
1993/10/4,4.7094,4.7755,4.7094,4.7623,260551
1993/10/5,4.7623,4.9211,4.7491,4.8946,354824
1993/10/6,4.8549,4.8946,4.802,4.8417,234222
1993/10/7,4.8152,4.8285,4.7226,4.7623,160479
1993/10/8,4.7624,4.7756,4.6169,4.683,272238
1993/10/11,4.6962,4.7226,4.6565,4.6697,115480
1993/10/12,4.6698,4.7491,4.6698,4.7359,253823
1993/10/13,4.7623,4.8152,4.7359,4.7491,112009
1993/10/14,4.7227,4.7359,4.6433,4.6962,315372
1993/10/15,4.7094,4.7358,4.63,4.63,154425
1993/10/18,4.5242,4.5771,4.3787,4.4448,377893
1993/10/19,4.4581,4.4581,4.2067,4.2729,507009
1993/10/20,4.3655,4.3787,4.1803,4.1935,526690
1993/10/21,4.2861,4.3655,4.2596,4.339,376879
1993/10/22,4.339,4.4052,4.2993,4.3787,263726
1993/10/25,4.339,4.3522,4.2464,4.2464,321381
1993/10/26,4.2332,4.2465,4.1671,4.22,457017
1993/10/27,4.2199,4.2464,4.2067,4.2464,148922
1993/10/28,4.2861,4.3258,4.2728,4.2993,274985
1993/10/29,4.3126,4.3655,4.3126,4.3523,289976
1993/11/1,4.339,4.339,4.22,4.2729,198156
1993/11/2,4.2597,4.2729,4.22,4.2332,224275
1993/11/3,4.22,4.2464,4.0877,4.1009,669860
1993/11/4,4.1009,4.1935,4.0348,4.048,229355
1993/11/5,4.0744,4.0744,3.9554,4.0215,375100
1993/11/8,4.048,4.1538,4.0348,4.0877,132838
1993/11/9,4.1803,4.2332,4.1274,4.1671,206454
1993/11/10,4.1671,4.1671,4.0745,4.0877,154512
1993/11/11,4.1009,4.1671,4.1009,4.1009,122127
1993/11/12,4.1008,4.1273,4.0215,4.1273,155059
1993/11/15,4.1803,4.1803,4.0215,4.048,448211
1993/11/16,4.048,4.048,3.9686,4.0215,250391
1993/11/17,4.0348,4.0612,3.9819,4.048,208951
1993/11/18,4.048,4.048,3.995,4.0215,176692
1993/11/19,3.9951,3.9951,3.7967,3.8496,529152
1993/11/22,3.8892,3.8892,3.704,3.7305,442665
1993/11/23,3.8628,3.9818,3.7966,3.9686,497694
1993/11/24,3.9925,4.0456,3.9527,3.966,111928
1993/11/26,3.966,3.9925,3.9527,3.9527,18718
1993/11/29,4.0057,4.0853,3.9925,4.019,174660
1993/11/30,4.0323,4.0854,4.0191,4.0323,66597
1993/12/1,4.0588,4.1649,4.0588,4.1251,165958
1993/12/2,4.1384,4.1649,4.0721,4.0721,102378
1993/12/3,4.0986,4.1383,4.0853,4.1251,143675
1993/12/6,4.1517,4.1782,4.1384,4.1384,107768
1993/12/7,4.1516,4.1516,4.0853,4.0853,130857
1993/12/8,4.0588,4.0987,4.0191,4.0456,242788
1993/12/9,4.072,4.1383,4.0455,4.1251,159676
1993/12/10,4.1384,4.1384,3.9793,4.1119,282474
1993/12/13,4.0588,4.1517,4.0456,4.1517,213245
1993/12/14,4.1517,4.165,4.0987,4.1119,257092
1993/12/15,4.0323,4.0456,3.9925,4.0456,237652
1993/12/16,4.0455,4.0455,3.9659,4.0057,178309
1993/12/17,4.0323,4.0721,4.0191,4.0323,133872
1993/12/20,4.0323,4.0456,3.9792,4.0323,125638
1993/12/21,4.0322,4.0455,3.9659,4.0057,138624
1993/12/22,4.0323,4.0721,3.9793,4.0456,227041
1993/12/23,4.0322,4.072,3.9925,4.0057,158870
1993/12/27,4.0058,4.0058,3.8997,3.9262,225215
1993/12/28,3.9261,3.9394,3.7404,3.8333,316807
1993/12/29,3.8598,3.8598,3.7404,3.7537,260269
1993/12/30,3.7272,3.7803,3.6874,3.7272,348599
1993/12/31,3.7273,3.7538,3.6742,3.6742,180478
1994/1/3,3.6874,3.7537,3.6608,3.7139,327290
1994/1/4,3.7139,3.767,3.7007,3.7272,191808
1994/1/5,3.7139,3.7538,3.6874,3.7007,351021
1994/1/6,3.7272,3.7538,3.6344,3.7007,355944
1994/1/7,3.7139,3.8598,3.7139,3.82,367569
1994/1/10,3.8201,3.8599,3.7803,3.8466,274451
1994/1/11,3.8598,3.9659,3.8598,3.9394,248428
1994/1/12,3.9395,4.0588,3.8997,4.0456,251319
1994/1/13,4.0323,4.1252,4.0058,4.1119,249919
1994/1/14,4.1118,4.2179,4.1118,4.1914,289642
1994/1/17,4.1649,4.1649,4.1251,4.1251,132385
1994/1/18,4.1252,4.1782,4.0986,4.1384,150468
1994/1/19,4.1251,4.1914,4.0322,4.0853,179499
1994/1/20,4.0721,4.1384,4.019,4.1384,204288
1994/1/21,4.1649,4.218,4.0721,4.0721,226148
1994/1/24,4.0456,4.0986,4.0323,4.0721,240791
1994/1/25,4.0455,4.0588,3.9925,4.0057,216340
1994/1/26,3.9925,4.0721,3.9793,4.0456,155902
1994/1/27,4.0588,4.1118,4.0323,4.0986,385017
1994/1/28,4.0986,4.1914,4.0853,4.0986,283616
1994/1/31,4.0986,4.0986,4.0456,4.0721,256284
1994/2/1,4.0853,4.1251,4.0588,4.0853,161714
1994/2/2,4.0588,4.1118,4.0455,4.0853,93124
1994/2/3,4.0588,4.0721,4.019,4.0721,90875
1994/2/4,4.0455,4.072,3.9261,3.9394,186119
1994/2/7,3.8068,3.8465,3.8068,3.8333,399234
1994/2/8,3.82,3.82,3.7272,3.7935,549065
1994/2/9,3.7935,3.8599,3.767,3.8466,301913
1994/2/10,3.8333,3.8466,3.7803,3.7935,117996
1994/2/11,3.7803,3.8333,3.7803,3.8068,112946
1994/2/14,3.8068,3.8599,3.767,3.7803,486762
1994/2/15,3.7537,3.7803,3.6874,3.6874,325298
1994/2/16,3.6609,3.7139,3.5946,3.6874,620205
1994/2/17,3.7404,3.7803,3.7139,3.7272,366468
1994/2/18,3.7404,3.767,3.7007,3.7272,161078
1994/2/22,3.7139,3.7405,3.6742,3.6874,86715
1994/2/23,3.7007,3.714,3.6075,3.6874,285576
1994/2/24,3.6342,3.7539,3.6208,3.6874,542399
1994/2/25,3.6874,3.7673,3.6608,3.7673,274119
1994/2/28,3.7673,3.8471,3.7673,3.8338,261252
1994/3/1,3.8338,3.8338,3.7673,3.7939,344447
1994/3/2,3.7274,3.7673,3.6741,3.754,228115
1994/3/3,3.754,3.7939,3.7407,3.7806,182832
1994/3/4,3.7806,3.7806,3.6475,3.6475,428073
1994/3/7,3.6741,3.6741,3.5809,3.5942,292051
1994/3/8,3.6208,3.674,3.5942,3.6208,278887
1994/3/9,3.6342,3.6608,3.6209,3.6475,338616
1994/3/10,3.6475,3.6608,3.6209,3.6342,109648
1994/3/11,3.6475,3.754,3.6209,3.754,243621
1994/3/14,3.7939,3.8604,3.7806,3.8338,251156
1994/3/15,3.8738,3.9403,3.8605,3.8738,403576
1994/3/16,3.8738,3.8738,3.8072,3.8338,363700
1994/3/17,3.8472,3.8871,3.8338,3.8738,146453
1994/3/18,3.8472,3.8472,3.7939,3.8072,307558
1994/3/21,3.8072,3.8338,3.7805,3.8205,88348
1994/3/22,3.7939,3.8604,3.7939,3.8205,124470
1994/3/23,3.8338,3.9137,3.8338,3.9004,144833
1994/3/24,3.8738,3.887,3.7939,3.8338,95462
1994/3/25,3.8205,3.8338,3.7673,3.7673,79360
1994/3/28,3.7673,3.7673,3.6075,3.6208,292049
1994/3/29,3.6342,3.6741,3.5277,3.5942,311519
1994/3/30,3.5942,3.6208,3.4078,3.4478,432413
1994/3/31,3.4744,3.5143,3.3679,3.4744,255586
1994/4/4,3.368,3.4478,3.3546,3.4345,250351
1994/4/5,3.4877,3.6208,3.4744,3.6208,344743
1994/4/6,3.6208,3.6741,3.5809,3.6608,300658
1994/4/7,3.6475,3.7007,3.6475,3.7007,233906
1994/4/8,3.6741,3.7407,3.6609,3.7141,229479
1994/4/11,3.6874,3.7407,3.6475,3.7007,109647
1994/4/12,3.7273,3.7273,3.6608,3.6608,146069
1994/4/13,3.6741,3.6874,3.5409,3.5809,340740
1994/4/14,3.5676,3.6075,3.5409,3.5809,146111
1994/4/15,3.5809,3.6075,3.541,3.5543,98998
1994/4/18,3.6076,3.6475,3.581,3.6342,139382
1994/4/19,3.6608,3.6608,3.5676,3.5942,119871
1994/4/20,3.7007,3.8205,3.6874,3.8072,401061
1994/4/21,3.8604,3.887,3.8072,3.8205,513217
1994/4/22,3.8206,3.9936,3.8206,3.9803,331628
