Date,Open,High,Low,Close,Volume
1973/9/14,1.5084,1.528,1.5084,1.5084,188
1973/9/17,1.5182,1.5378,1.5182,1.5182,2539
1973/9/18,1.528,1.5476,1.528,1.528,2790
1973/9/19,1.5475,1.5671,1.5475,1.5475,4795
1973/9/20,1.5476,1.5623,1.5427,1.5427,2570
1973/9/21,1.5427,1.5574,1.5378,1.5378,2884
1973/9/24,1.5574,1.577,1.5574,1.5574,4357
1973/9/25,1.5573,1.5671,1.5475,1.5475,909
1973/9/26,1.5475,1.5671,1.5475,1.5475,2883
1973/9/27,1.5476,1.5574,1.5378,1.5378,1881
1973/9/28,1.5378,1.5574,1.5378,1.5378,3542
1973/10/1,1.5378,1.5574,1.5378,1.5378,1160
1973/10/2,1.5427,1.5623,1.5427,1.5427,1285
1973/10/3,1.5427,1.5623,1.5427,1.5427,2319
1973/10/4,1.5427,1.5623,1.5427,1.5427,690
1973/10/5,1.5427,1.5574,1.5378,1.5378,2915
1973/10/8,1.5378,1.5574,1.5378,1.5378,1348
1973/10/9,1.5378,1.5574,1.5378,1.5378,1567
1973/10/10,1.5622,1.5818,1.5622,1.5622,7428
1973/10/11,1.6014,1.621,1.6014,1.6014,7271
1973/10/12,1.6259,1.6455,1.6259,1.6259,5579
1973/10/15,1.6259,1.6357,1.6161,1.6161,6958
1973/10/16,1.6161,1.6357,1.6161,1.6161,6457
1973/10/17,1.621,1.6406,1.621,1.621,2194
1973/10/18,1.621,1.6406,1.621,1.621,1661
1973/10/19,1.6455,1.6651,1.6455,1.6455,6394
1973/10/22,1.6455,1.6455,1.6259,1.6259,3354
1973/10/23,1.6259,1.6259,1.6063,1.6063,5140
1973/10/24,1.6063,1.6161,1.5965,1.5965,2351
1973/10/25,1.6014,1.621,1.6014,1.6014,1034
1973/10/26,1.6063,1.6259,1.6063,1.6063,2507
1973/10/29,1.6063,1.6259,1.6063,1.6063,1912
1973/10/30,1.5818,1.5818,1.5622,1.5622,2727
1973/10/31,1.5574,1.5574,1.5378,1.5378,4106
1973/11/1,1.5378,1.5476,1.528,1.528,4858
1973/11/2,1.528,1.5427,1.5231,1.5231,4796
1973/11/5,1.5231,1.5427,1.5231,1.5231,1818
1973/11/6,1.528,1.5476,1.528,1.528,1316
1973/11/7,1.5671,1.5867,1.5671,1.5671,2570
1973/11/8,1.5867,1.6063,1.5867,1.5867,3636
1973/11/9,1.5867,1.6063,1.5867,1.5867,2445
1973/11/12,1.5867,1.6014,1.5818,1.5818,2194
1973/11/13,1.5818,1.6014,1.5818,1.5818,2351
1973/11/14,1.577,1.577,1.5574,1.5574,2978
1973/11/15,1.5622,1.5818,1.5622,1.5622,1818
